"species_id","group_id","behavior","domains","behavior_id","Ordr","Class"
"Pan_troglodytes",700014,"CWOT chimpanzees group 2 grooming handclasp behavior","social",18,"Primates","Mammalia"
"Pan_troglodytes",700013,"CWOT chimpanzees group 1 grooming handclasp behavior","social",17,"Primates","Mammalia"
"Pan_troglodytes_schweinfurthii",700041,"Kasekela chimpanzees termite fishing","foraging",47,"Primates","Mammalia"
"Pan_troglodytes_schweinfurthii",700108,"Mahale M-group chimpanzees rain dance","other",123,"Primates","Mammalia"
"Pan_troglodytes_schweinfurthii",700109,"Gombe chimpanzees rain dance","other",124,"Primates","Mammalia"
"Pan_troglodytes_schweinfurthii",700107,"Mahale K-group chimpanzees grooming-handclasp","social",122,"Primates","Mammalia"
"Pan_troglodytes_troglodytes",700016,"Ebo forest chimpanzees stone hammer nut-cracking","foraging",20,"Primates","Mammalia"
"Pan_troglodytes_verus",700004,"Bossou chimpanzees human snare deactivation","antipredation",8,"Primates","Mammalia"
"Pan_troglodytes_verus",700057,"North group Taï chimpanzees pant hoots","social",64,"Primates","Mammalia"
"Pan_troglodytes_verus",700004,"Bossou chimpanzees ant-dipping","foraging",7,"Primates","Mammalia"
"Pan_troglodytes_verus",700086,"South group Taï chimpanzees stone hammer nut-cracking","foraging",93,"Primates","Mammalia"
"Pan_troglodytes_verus",700057,"North group Taï chimpanzees pant hoots","vocal communication",64,"Primates","Mammalia"
"Pan_troglodytes_verus",700004,"Bossou chimpanzees pestle-pounding","foraging",6,"Primates","Mammalia"
"Pan_troglodytes_verus",700050,"Middle group Taï chimpanzees pant hoots","social",57,"Primates","Mammalia"
"Pan_troglodytes_verus",700113,"Taï chimpanzees rain dance","other",125,"Primates","Mammalia"
"Pan_troglodytes_verus",700050,"Middle group Taï chimpanzees pant hoots","vocal communication",57,"Primates","Mammalia"
"Pan_troglodytes_verus",700086,"South group Taï chimpanzees pant hoots","social",92,"Primates","Mammalia"
"Pan_troglodytes_verus",700086,"South group Taï chimpanzees pant hoots","vocal communication",92,"Primates","Mammalia"
"Parus_major",700102,"Wytham Woods great tits puzzle box foraging","foraging",117,"Passeriformes","Aves"
"Parus_major",700036,"Istállós-kői-cave foraging tits bat hunting","foraging",42,"Passeriformes","Aves"
"Parus_major",700114,"Daeli great tits nest site choice","mating",126,"Passeriformes","Aves"
"Passerculus_sandwichensis",700061,"Northern theme Savannah sparrows song dialect","migration",68,"Passeriformes","Aves"
"Passerculus_sandwichensis",700089,"Southern theme Savannah sparrows song dialect","migration",98,"Passeriformes","Aves"
"Passerculus_sandwichensis",700089,"Southern theme Savannah sparrows song dialect","mating",98,"Passeriformes","Aves"
"Passerculus_sandwichensis",700089,"Southern theme Savannah sparrows song dialect","vocal communication",98,"Passeriformes","Aves"
"Passerculus_sandwichensis",700061,"Northern theme Savannah sparrows song dialect","mating",68,"Passeriformes","Aves"
"Passerculus_sandwichensis",700061,"Northern theme Savannah sparrows song dialect","vocal communication",68,"Passeriformes","Aves"
"Passerina_cyanea",700025,"George Reserve Indigo buntings song themes","mating",29,"Passeriformes","Aves"
"Passerina_cyanea",700025,"George Reserve Indigo buntings song themes","vocal communication",29,"Passeriformes","Aves"
"Philesturnus_rufusater",700012,"Cuvier saddlebacks song dialect","vocal communication",16,"Passeriformes","Aves"
"Philesturnus_rufusater",700012,"Cuvier saddlebacks song dialect","mating",16,"Passeriformes","Aves"
"Physeter_macrocephalus",700077,"Regular clan coda dialect","social",83,"Cetacea","Mammalia"
"Physeter_macrocephalus",700027,"Gulf of Alaska sperm whales longline depradation","social",33,"Cetacea","Mammalia"
"Physeter_macrocephalus",700027,"Gulf of Alaska sperm whales longline depradation","foraging",33,"Cetacea","Mammalia"
"Physeter_macrocephalus",700072,"Plus-One clan coda dialect","social",78,"Cetacea","Mammalia"
"Physeter_macrocephalus",700077,"Regular clan coda dialect","vocal communication",83,"Cetacea","Mammalia"
"Physeter_macrocephalus",700072,"Plus-One clan coda dialect","vocal communication",78,"Cetacea","Mammalia"
"Pipistrellus_pipistrellus",700091,"Stolec (STO) pipistrelle colony echolocation dialect","vocal communication",100,"Chiroptera","Mammalia"
"Plocepasser_mahali",700105,"Kalahari sparrow weavers group PO cooperative structure building","architecture",120,"Passeriformes","Aves"
"Ploceus_bicolor_stictifrons",700032,"Hluhluwe River dialect forest weavers song dialect","mating",38,"Passeriformes","Aves"
