species_id,group_id,group_name,group_level,group_above,size,size_evidence,size_date,size_source,location_evidence,location_source,lat,long,points,labels
Cebus_capucinus,700046,Lomas Barbudal capuchins,NA,,29,20-37,NA,,"Lomas de Barbudal Biological Reserve [10° 30 N, 85° 22 W]",panger2002,10.433,-85.4,,
Cebus_capucinus,700083,Santa Rosa capuchins,NA,,18,about 18 individuals,NA,,"Santa Rosa National Park [10° 45–11° 00N, 85° 30–85° 45]",panger2002,10.884,-85.775,Cebus,Santa Rosa capuchins
Cervus_canadensis,700071,Pennsylvania elk group,NA,,NA,,NA,,"Elk County, Pennsylvania",nelsonreinier2023,41.428,-78.566,Cervus canadensis,Pennsylvania elk group
Cervus_canadensis,700101,Wyoming elk group,NA,,NA,,NA,,"Yellowstone National Park, Wyoming",nelsonreinier2023,44.598,-110.561,,
Cervus_canadensis,700009,Colorado elk group,NA,,NA,,NA,,"Rock Mountain National Park, Colorado",nelsonreinier2023,39.55,-105.782,Cervus canadensis,Colorado elk group
Chersophilus_duponti,700017,Ebro Valley Dupont's Lark,NA,,NA,"""In study fragments, we digitally recorded a total of 216 calling individuals and 113 singing individuals from an estimated 450 males...In patches occupied by < 10 males, we recorded a slightly greater proportion of individuals (66–100%) than in larger populations (40–90%)""",NA,,"Ebro Valley, Spain",laiolo2007,41.849,-1.658,Alaudidae,Ebro Valley larks
Chlamydera_maculata,700095,Taunton bowerbirds,NA,,NA,,NA,,"Taunton National Park, Queensland, Australia",madden2004,-23.521,149.219,Ptilonorhynchidae,Taunton bowerbirds
Cinnyris_osea,700019,En Gedi sunbirds,NA,Palestine sunbirds,NA,,NA,,"En Gedi, Dead Sea",yoktan2011,31.451,35.384,,
Cinnyris_osea,700076,Ramat-Aviv low dialect sunbirds,NA,,37,"""60% of the males (37 territorial males), all singing the low dialect, inhabiting one area""",NA,,"Ramat-Aviv neighborhood, Israel",leader2005,32.107,34.796,,
Cinnyris_osea,700075,Ramat-Aviv high dialect sunbirds,NA,,21,"""33% (21 territorial males), singing the high dialect""",NA,,"Ramat-Aviv neighborhood, Israel",leader2005,32.107,34.796,,
Corvus_brachyrhynchos,700099,University of Washington crows,NA,,NA,"""(during the course of our research, the crow population in Seattle has remained high [38]; and more recently fluctuated between 93.4 crows per party-hour in 2005 and 80.7 crows per partyhour in 2009)."" (Cornell et al. 2012)",NA,,"University of Washington, Seattle",cornell2012,47.657,-122.307,,
Corvus_corax,700018,EE-WW East dialect ravens,NA,,46,46 known breeding pairs total in region,NA,enggist2002,"""south of Bern, Switzerland (46º57'N, 7º30'E)""",enggist2002,46.948,7.447,Corvus corax,EE-WW ravens
Corvus_corax,700096,TT-QQ West dialect ravens,NA,,46,46 known breeding pairs total in region,NA,enggist2002,"""south of Bern, Switzerland (46º57'N, 7º30'E)""",enggist2002,46.948,7.447,,
Corvus_moneduloides,700026,Grande Terre New Caledonian crows,NA,New Caledonian crows,NA,,NA,,"Grande Terre, New Caledonia",bluff2010,-21.311,165.434,Corvus,Grande Terre New Caledonian crows
Corvus_moneduloides,700056,New Caledonian crows,NA,,NA,,NA,,New Caledonia,,-20.904,165.618,,
Corvus_moneduloides,700048,Mare Island New Caledonian crows,NA,New Caledonian crows,NA,,NA,,"Mare, New Caledonia, about 5 km inland from Wabao village",holzhaider2010,-21.599,167.935,Corvus,Mare Island New Caledonian crows
Delphinapterus_leucas,700015,eastern Hudson Bay beluga stock,NA,,3300,2009,NA,,"eastern Hudson Bay, Canada",colbeck2013,59.51,-80.72,Delphinapterus leucas,eastern Hudson Bay beluga stock
Eschrichtius_robustus,700068,Pacific Coast Feeding Aggregation,NA,eastern gray whale population,NA,,NA,,Clayoquot Sound,,49.2,-126.1,Eschrichtius robustus,PCFG gray whales
Falcunculus_frontatus,700002,Armidale shrike-tits,NA,,NA,,NA,,"Imbota Nature Reserve, New South Wales",noske2003,-30.573,151.721,Falcunculus,Armidale shrike-tits
Falcunculus_frontatus,700100,Wollomombi Falls shrike-tits,NA,,NA,,NA,,"Wollomombi Falls, New South Wales",noske2003,-30.532,152.033,Falcunculus,Wollomombi Falls shrike-tits
Fringilla_coelebs,700007,Chatham Island population,NA,,NA,,NA,,Chatham Island,baker1987,-43.927,-176.459,Fringilla coelebs,Chatham Island chaffinches
Gerygone_fusca,700080,Rottnest Island Gerygones,NA,,NA,,NA,,"Rottnest Island, Indian Ocean",baker2003,-31.997,115.54,Acanthizidae,Rottnest Island Gerygones
Gorilla_beringei_beringei,700040,Karisoke gorilla groups,1,,NA,,NA,,"Karisoke Research Center, Volcanos National Park, Rwanda",robbins2016,-1.833,29.5,,
Gorilla_beringei_beringei,700005,Bwindi Kyagurilo gorilla group,0,,15,ranged from 9 to 21 during study period 1998 to 2011,2005,robbins2016,"Bwindi Impenetrable National Park, Uganda",robbins2016,-1,29.667,Gorilla,Bwindi gorillas
Gorilla_gorilla_gorilla,700054,Moukalaba Gentil gorilla group,0,,21,ranged from 19 to 23 during study period 2007 to 2015,2011,robbins2016,"Moukalaba-Doudou National Park, Gabon",robbins2016,-2.05,10.95,Gorilla gorilla gorilla,Moukalaba gorillas
Gyps_fulvus,700062,Northern vulture population,NA,,NA,,NA,,northern Spain,arrondo2023,40.464,-3.749,Gyps fulvus,Northern Spain vultures
Gyps_fulvus,700090,Southern vulture population,NA,,NA,,NA,,southern Spain,arrondo2023,40.464,-3.749,,
Hipposideros_larvatus,700029,Hainan caves leafnosed bats,NA,,NA,,NA,,Hainan Island,jiang2010,20.02,110.349,Hipposideridae,Hainan caves leafnosed bats
